OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
1,6,283802,091,F,2,1,1531,*,,9,TI,I,AV.REINA VICTORIA-AV.PABLO IGLESIAS,28,079,MADRID,A,Avda de la Reina Victoria N 19,19991221,19861001,,321.4525,11.071,6,_,,,6__91_____2_IT_1_6_1531_*__TI_I_9,,,,6__91___,6__91_____2_IT_1,6_1531,6_1531_*,6_1531_,
2,6,283736,127,127,2,1,1531,*,,28,TI,I,AV.REINA VICTORIA-AV.PABLO IGLESIAS,28,079,MADRID,A,Avda de la Reina Victoria N 19,19991221,19961019,,311.1068,12.75,6,_,,,6__127_____2_IT_1_6_1531_*__TI_I_28,,,,6__127___,6__127_____2_IT_1,6_1531,6_1531_*,6_1531_,
3,6,283890,068,C1,2,1,1531,*,,25,TI,I,AV.REINA VICTORIA-AV.PABLO IGLESIAS,28,079,MADRID,A,Avda de la Reina Victoria N 19,19991221,19861001,,321.4525,11.726,6,_,,,6__68_____2_IT_1_6_1531_*__TI_I_25,,,,6__68___,6__68_____2_IT_1,6_1531,6_1531_*,6_1531_,
4,6,364386,045,45,2,1,1531,*,,4,TI,I,AV.REINA VICTORIA-AV.PABLO IGLESIAS,28,079,MADRID,A,Avda de la Reina Victoria N 19,20191112,20191112,,321.4541,0,6,_,,,6__45_____2_IT_1_6_1531_*__TI_I_4,,-,,6__45___,6__45____-_2_IT_1,6_1531,6_1531_*,6_1531_,
5,6,364386,045,45,2,1,1532,*,,7,TI,I,CRISTOBAL BORDIU-STA.ENGRACIA,28,079,MADRID,A,Calle de Cristóbal Bordiú N 6,20191112,20191112,,320.3234,10.878,6,_,,,6__45_____2_IT_1_6_1532_*__TI_I_7,,-,,6__45___,6__45____-_2_IT_1,6_1532,6_1532_*,6_1532_,
6,6,364386,045,45,2,1,1533,*,,8,TI,I,CRISTOBAL BORDIU-ALENZA,28,079,MADRID,A,Calle de Cristóbal Bordiú N 30,20191112,20191112,,213.3837,0,6,93_316,,,6__45_____2_IT_1_6_1533_*__TI_I_8,,-,,6__45___,6__45____-_2_IT_1,6_1533,6_1533_*,6_1533_,
7,6,364386,045,45,2,1,1534,*,,9,TI,I,CRISTOBAL BORDIU-ALONSO CANO,28,079,MADRID,A,Calle de Cristóbal Bordiú N 40,20191112,20191112,,273.4024,0,6,_,,,6__45_____2_IT_1_6_1534_*__TI_I_9,,-,,6__45___,6__45____-_2_IT_1,6_1534,6_1534_*,6_1534_,
8,6,364386,045,45,2,1,1535,*,,10,TI,I,AGUSTIN BETANCOURT-C.BORDIU,28,079,MADRID,A,Calle de Agustín de Betancourt N 3,20191112,20191112,,271.5799,0,6,_,,,6__45_____2_IT_1_6_1535_*__TI_I_10,,-,,6__45___,6__45____-_2_IT_1,6_1535,6_1535_*,6_1535_,
9,6,331943,019,19,1,1,1537,*,,24,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20030414,20030308,,343.9052,12.556,6,92_11,,,6__19_____1_IT_1_6_1537_*__TI_I_24,,,,6__19___,6__19_____1_IT_1,6_1537,6_1537_*,6_1537_,
10,6,359517,047,47,1,1,1537,*,,7,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20170525,20170524,,343.9037,0,6,92_11,,,6__47_A____1_IT_1_6_1537_*__TI_I_7,,,,6__47_A__,6__47_A____1_IT_1,6_1537,6_1537_*,6_1537_,
11,6,359518,247,247,1,1,1537,*,,7,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20170525,20170524,,343.9037,9.971,6,92_11,,,6__47_B____1_IT_1_6_1537_*__TI_I_7,,,,6__47_B__,6__47_B____1_IT_1,6_1537,6_1537_*,6_1537_,
12,6,361562,076,76,1,1,1537,*,,2,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20180221,20180221,,231.7795,0,6,92_11,,,6__76_____1_IT_1_6_1537_*__TI_I_2,,,,6__76___,6__76_____1_IT_1,6_1537,6_1537_*,6_1537_,
13,6,364386,045,45,2,1,1537,*,,29,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20191112,20191112,,343.9037,0,6,92_11,,,6__45_____2_IT_1_6_1537_*__TI_I_29,,-,,6__45___,6__45____-_2_IT_1,6_1537,6_1537_*,6_1537_,
14,6,366189,059,59,1,1,1537,*,,8,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20201230,20210101,,343.9037,14.406,6,92_11,,,6__59_____1_IT_1_6_1537_*__TI_I_8,,605901,,6__59___,6__59____605901_1_IT_1,6_1537,6_1537_*,6_1537_,
15,6,366193,086,86,1,1,1537,*,,7,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20201230,20210101,,343.9037,0,6,92_11,,,6__86_____1_IT_1_6_1537_*__TI_I_7,,608601,,6__86___,6__86____608601_1_IT_1,6_1537,6_1537_*,6_1537_,
16,6,366191,085,85,1,1,1537,*,,8,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20201230,20210101,,343.9037,13.275,6,92_11,,,6__85_____1_IT_1_6_1537_*__TI_I_8,,608501,,6__85___,6__85____608501_1_IT_1,6_1537,6_1537_*,6_1537_,
17,6,367512,062,62,1,1,1537,*,,31,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20211119,20211122,,231.779,13.36,6,92_11,,,6__62____-_1_IT_1_6_1537_*__TI_I_31,-,-,,6__62___,6__62____-_1_IT_1,6_1537,6_1537_*,6_1537_,
18,6,369727,008,8,2,1,1537,*,,39,TI,I,Pº DELICIAS-PZA.LEGAZPI,28,079,MADRID,A,Paseo de las Delicias N 150,20230324,20230324,,343.9052,12.946,6,92_11,,,6__8_____2_IT_1_6_1537_*__TI_I_39,,,,6__8___,6__8_____2_IT_1,6_1537,6_1537_*,6_1537_,
19,6,283891,069,C2,1,1,1539,*,,3,TI,I,AV.REINA VICTORIA-LOS VASCOS,28,079,MADRID,A,Avda de la Reina Victoria N 40,19991221,19861001,,261.8578,11.234,6,93_225,,,6__69_____1_IT_1_6_1539_*__TI_I_3,,,,6__69___,6__69_____1_IT_1,6_1539,6_1539_*,6_1539_,
20,6,283801,091,F,1,1,1539,*,,3,TI,I,AV.REINA VICTORIA-LOS VASCOS,28,079,MADRID,A,Avda de la Reina Victoria N 40,19991221,19861001,,261.8578,14.358,6,93_225,,,6__91_____1_IT_1_6_1539_*__TI_I_3,,,,6__91___,6__91_____1_IT_1,6_1539,6_1539_*,6_1539_,
21,6,364387,045,45,1,1,1539,*,,25,TI,I,AV.REINA VICTORIA-LOS VASCOS,28,079,MADRID,A,Avda de la Reina Victoria N 40,20191112,20191112,,261.8591,0,6,93_225,,,6__45_____1_IT_1_6_1539_*__TI_I_25,,-,,6__45___,6__45____-_1_IT_1,6_1539,6_1539_*,6_1539_,
22,6,370753,530,NC2,1,1,1539,*,,2,TI,I,AV.REINA VICTORIA-LOS VASCOS,28,079,MADRID,A,Avda de la Reina Victoria N 40,20231129,20231129,,722.6214,0,6,93_225,,,6_N_530_____1_IT_1_6_1539_*__TI_I_2,,653001,,6_N_530___,6_N_530____653001_1_IT_1,6_1539,6_1539_*,6_1539_,
23,6,283891,069,C2,1,1,1540,*,,18,TI,I,PZA.ESPAÑA-CTA.SAN VICENTE,28,079,MADRID,A,Plaza de España N 5,19991221,19861001,,252.5974,11.241,6,92_64,,,6__69_____1_IT_1_6_1540_*__TI_I_18,,,,6__69___,6__69_____1_IT_1,6_1540,6_1540_*,6_1540_,
24,6,341033,075,75,1,1,1540,*,,4,TI,I,PZA.ESPAÑA-CTA.SAN VICENTE,28,079,MADRID,A,Plaza de España N 5,20090921,20090807,,206.9195,9.305,6,92_64,,,6__75_____1_IT_1_6_1540_*__TI_I_4,,,,6__75___,6__75_____1_IT_1,6_1540,6_1540_*,6_1540_,
25,6,364178,039,39,1,1,1540,*,,2,TI,I,PZA.ESPAÑA-CTA.SAN VICENTE,28,079,MADRID,A,Plaza de España N 5,20190911,20190805,,350.8039,0,6,92_64,,,6__39____-_1_IT_1_6_1540_*__TI_I_2,-,-,,6__39___,6__39____-_1_IT_1,6_1540,6_1540_*,6_1540_,
26,6,364176,138,138,1,1,1540,*,,9,TI,I,PZA.ESPAÑA-CTA.SAN VICENTE,28,079,MADRID,A,Plaza de España N 5,20190911,20190923,,252.5974,11.339,6,92_64,,,6__138____-_1_IT_1_6_1540_*__TI_I_9,-,-,,6__138___,6__138____-_1_IT_1,6_1540,6_1540_*,6_1540_,
27,6,364172,025,25,1,1,1540,*,,2,TI,I,PZA.ESPAÑA-CTA.SAN VICENTE,28,079,MADRID,A,Plaza de España N 5,20190911,20190805,,425.1603,0,6,92_64,,,6__25____-_1_IT_1_6_1540_*__TI_I_2,-,-,,6__25___,6__25____-_1_IT_1,6_1540,6_1540_*,6_1540_,
28,6,367511,074,74,2,1,1540,*,,24,TI,I,PZA.ESPAÑA-CTA.SAN VICENTE,28,079,MADRID,A,Plaza de España N 5,20211119,20211122,,206.9195,0,6,92_64,,,6__74_____2_IT_1_6_1540_*__TI_I_24,,,,6__74___,6__74_____2_IT_1,6_1540,6_1540_*,6_1540_,
29,6,367514,148,148,1,1,1540,*,,4,TI,I,PZA.ESPAÑA-CTA.SAN VICENTE,28,079,MADRID,A,Plaza de España N 5,20211120,20211122,,206.9197,10.93,6,92_64,,,6__148_____1_IT_1_6_1540_*__TI_I_4,,,,6__148___,6__148_____1_IT_1,6_1540,6_1540_*,6_1540_,
30,6,367518,003,3,2,1,1540,*,,24,TI,I,PZA.ESPAÑA-CTA.SAN VICENTE,28,079,MADRID,A,Plaza de España N 5,20211121,20211122,,206.9195,10.946,6,92_64,,,6__3_____2_IT_1_6_1540_*__TI_I_24,,,,6__3___,6__3_____2_IT_1,6_1540,6_1540_*,6_1540_,
31,6,369068,046,46,1,1,1540,*,,7,TI,I,PZA.ESPAÑA-CTA.SAN VICENTE,28,079,MADRID,A,Plaza de España N 5,20221216,20221219,,206.9195,10.412,6,92_64,,,6__46_____1_IT_1_6_1540_*__TI_I_7,,604601,,6__46___,6__46____604601_1_IT_1,6_1540,6_1540_*,6_1540_,
32,6,369068,046,46,1,1,1541,*,,14,TI,I,AVDA. VALLADOLID,28,079,MADRID,A,Avda de Valladolid N 19,20221216,20221219,,311.832,30,6,_,,,6__46_____1_IT_1_6_1541_*__TI_I_14,,604601,,6__46___,6__46____604601_1_IT_1,6_1541,6_1541_*,6_1541_,
33,6,366204,520,N20,1,1,1542,*,,11,TI,I,AV.VALLADOLID-BRIGADA TRAFICO,28,079,MADRID,A,Avda de Valladolid N 6,20210108,20210112,,561.345,13.13,6,_,,,6_N_520_____1_IT_1_6_1542_*__TI_I_11,,,,6_N_520___,6_N_520_____1_IT_1,6_1542,6_1542_*,6_1542_,
34,6,369068,046,46,1,1,1542,*,,15,TI,I,AV.VALLADOLID-BRIGADA TRAFICO,28,079,MADRID,A,Avda de Valladolid N 6,20221216,20221219,,249.512,30,6,_,,,6__46_____1_IT_1_6_1542_*__TI_I_15,,604601,,6__46___,6__46____604601_1_IT_1,6_1542,6_1542_*,6_1542_,
35,6,369068,046,46,1,1,1543,*,,16,TI,I,AVDA. VALLADOLID,28,079,MADRID,A,Avda de Valladolid N 69,20221216,20221219,,446.829,30,6,_,,,6__46_____1_IT_1_6_1543_*__TI_I_16,,604601,,6__46___,6__46____604601_1_IT_1,6_1543,6_1543_*,6_1543_,
36,6,335893,099,U,2,1,1545,*,,11,TI,I,MARTIN FIERRO-OBISPO TREJO,28,079,MADRID,A,Calle de Martín Fierro N 8,20070212,20070212,,433.044,30,6,_,,,6__99_____2_IT_1_6_1545_*__TI_I_11,,,,6__99___,6__99_____2_IT_1,6_1545,6_1545_*,6_1545_,
37,6,335888,099,U,1,1,1546,*,,1,TI,CN,AV.JUAN HERRERA-MARTIN FIERRO,28,079,MADRID,A,Avda de Juan de Herrera SN SN,20070212,20070212,,0,0,6,_,,,6__99_____1_IT_1_6_1546_*__TI_CN_1,,,,6__99___,6__99_____1_IT_1,6_1546,6_1546_*,6_1546_,
38,6,335893,099,U,2,1,1546,*,,12,TI,C,AV.JUAN HERRERA-MARTIN FIERRO,28,079,MADRID,A,Avda de Juan de Herrera SN SN,20070212,20070212,,271.346,30,6,_,,,6__99_____2_IT_1_6_1546_*__TI_C_12,,,,6__99___,6__99_____2_IT_1,6_1546,6_1546_*,6_1546_,
39,6,366204,520,N20,1,1,1546,*,,15,TI,I,AV.JUAN HERRERA-MARTIN FIERRO,28,079,MADRID,A,Avda de Juan de Herrera SN SN,20210108,20210112,,287.194,13.13,6,_,,,6_N_520_____1_IT_1_6_1546_*__TI_I_15,,,,6_N_520___,6_N_520_____1_IT_1,6_1546,6_1546_*,6_1546_,
40,6,369068,046,46,1,1,1546,*,,20,TI,I,AV.JUAN HERRERA-MARTIN FIERRO,28,079,MADRID,A,Avda de Juan de Herrera SN SN,20221216,20221219,,287.194,30,6,_,,,6__46_____1_IT_1_6_1546_*__TI_I_20,,604601,,6__46___,6__46____604601_1_IT_1,6_1546,6_1546_*,6_1546_,
41,6,335888,099,U,1,1,1547,*,,2,TI,I,AV.JUAN HERRERA-PZA.C.CISNEROS,28,079,MADRID,A,Avda de Juan de Herrera N 2,20070212,20070212,,433.555,30,6,_,,,6__99_____1_IT_1_6_1547_*__TI_I_2,,,,6__99___,6__99_____1_IT_1,6_1547,6_1547_*,6_1547_,
42,6,369068,046,46,1,1,1547,*,,21,TI,I,AV.JUAN HERRERA-PZA.C.CISNEROS,28,079,MADRID,A,Avda de Juan de Herrera N 2,20221216,20221219,,433.555,30,6,_,,,6__46_____1_IT_1_6_1547_*__TI_I_21,,604601,,6__46___,6__46____604601_1_IT_1,6_1547,6_1547_*,6_1547_,
43,6,333607,132,132,2,1,1548,*,,37,TI,I,AV.ARCO VICTORIA-AV.SENECA,28,079,MADRID,A,Avda del Arco de la Victoria N 1,20050331,20050414,,359.8873,13.591,6,_,,,6__132_____2_IT_1_6_1548_*__TI_I_37,,,,6__132___,6__132_____2_IT_1,6_1548,6_1548_*,6_1548_,
44,6,335893,099,U,2,1,1548,*,,9,TI,I,AV.ARCO VICTORIA-AV.SENECA,28,079,MADRID,A,Avda del Arco de la Victoria N 1,20070212,20070212,,359.8873,14.641,6,_,,,6__99_____2_IT_1_6_1548_*__TI_I_9,,,,6__99___,6__99_____2_IT_1,6_1548,6_1548_*,6_1548_,
45,6,341038,133,133,2,1,1548,*,,25,TI,I,AV.ARCO VICTORIA-AV.SENECA,28,079,MADRID,A,Avda del Arco de la Victoria N 1,20090921,20090807,,613.9522,19.242,6,_,,,6__133_____2_IT_1_6_1548_*__TI_I_25,,,,6__133___,6__133_____2_IT_1,6_1548,6_1548_*,6_1548_,
46,6,366203,082,82,2,1,1548,*,,33,TI,I,AV.ARCO VICTORIA-AV.SENECA,28,079,MADRID,A,Avda del Arco de la Victoria N 1,20210108,20210112,,359.8873,15.688,6,_,,,6__82_A____2_IT_1_6_1548_*__TI_I_33,,-,,6__82_A__,6__82_A___-_2_IT_1,6_1548,6_1548_*,6_1548_,
47,6,369067,162,162,2,1,1548,*,,20,TI,I,AV.ARCO VICTORIA-AV.SENECA,28,079,MADRID,A,Avda del Arco de la Victoria N 1,20221216,20221219,,613.9522,23.669,6,_,,,6__162_____2_IT_1_6_1548_*__TI_I_20,,,,6__162___,6__162_____2_IT_1,6_1548,6_1548_*,6_1548_,
48,6,369068,046,46,1,1,1548,*,,22,TI,I,AV.ARCO VICTORIA-AV.SENECA,28,079,MADRID,A,Avda del Arco de la Victoria N 1,20221216,20221219,,295.1651,10.573,6,_,,,6__46_____1_IT_1_6_1548_*__TI_I_22,,604601,,6__46___,6__46____604601_1_IT_1,6_1548,6_1548_*,6_1548_,
49,6,369071,092,G,2,1,1548,*,,7,TI,I,AV.ARCO VICTORIA-AV.SENECA,28,079,MADRID,A,Avda del Arco de la Victoria N 1,20221216,20221219,,359.8873,10.281,6,_,,,6__92_____2_IT_1_6_1548_*__TI_I_7,,,,6__92___,6__92_____2_IT_1,6_1548,6_1548_*,6_1548_,
50,6,369823,083,83,2,1,1548,*,,26,TI,I,AV.ARCO VICTORIA-AV.SENECA,28,079,MADRID,A,Avda del Arco de la Victoria N 1,20230414,20230505,,613.9522,19.367,6,_,,,6__83_____2_IT_1_6_1548_*__TI_I_26,,608302,,6__83___,6__83____608302_2_IT_1,6_1548,6_1548_*,6_1548_,
51,6,369062,160,160,1,1,1550,*,,3,TI,I,AV.JUAN HERRERA-PZA.C.CISNEROS,28,079,MADRID,A,Avda de Juan de Herrera N 2,20221216,20221219,,260.9041,19.288,6,_,,,6__160_____1_IT_1_6_1550_*__TI_I_3,,,,6__160___,6__160_____1_IT_1,6_1550,6_1550_*,6_1550_,
52,6,369064,161,161,1,1,1550,*,,3,TI,I,AV.JUAN HERRERA-PZA.C.CISNEROS,28,079,MADRID,A,Avda de Juan de Herrera N 2,20221216,20221219,,260.9041,0,6,_,,,6__161____-_1_IT_1_6_1550_*__TI_I_3,-,-,,6__161___,6__161____-_1_IT_1,6_1550,6_1550_*,6_1550_,
53,6,369069,046,46,2,1,1550,*,,2,TI,I,AV.JUAN HERRERA-PZA.C.CISNEROS,28,079,MADRID,A,Avda de Juan de Herrera N 2,20221216,20221219,,1115.3024,0,6,_,,,6__46_____2_IT_1_6_1550_*__TI_I_2,,604602,,6__46___,6__46____604602_2_IT_1,6_1550,6_1550_*,6_1550_,
54,6,369062,160,160,1,1,1551,*,,4,TI,I,AV.JUAN HERRERA-MARTIN FIERRO,28,079,MADRID,A,Avda de Juan de Herrera N 6,20221216,20221219,,395.9136,-1,6,_,,,6__160_____1_IT_1_6_1551_*__TI_I_4,,,,6__160___,6__160_____1_IT_1,6_1551,6_1551_*,6_1551_,
55,6,369064,161,161,1,1,1551,*,,4,TI,I,AV.JUAN HERRERA-MARTIN FIERRO,28,079,MADRID,A,Avda de Juan de Herrera N 6,20221216,20221219,,395.9136,-1,6,_,,,6__161____-_1_IT_1_6_1551_*__TI_I_4,-,-,,6__161___,6__161____-_1_IT_1,6_1551,6_1551_*,6_1551_,
56,6,369069,046,46,2,1,1551,*,,3,TI,I,AV.JUAN HERRERA-MARTIN FIERRO,28,079,MADRID,A,Avda de Juan de Herrera N 6,20221216,20221219,,395.913,30,6,_,,,6__46_____2_IT_1_6_1551_*__TI_I_3,,604602,,6__46___,6__46____604602_2_IT_1,6_1551,6_1551_*,6_1551_,
57,6,370490,520,N20,2,1,1551,*,,23,TI,I,AV.JUAN HERRERA-MARTIN FIERRO,28,079,MADRID,A,Avda de Juan de Herrera N 6,20231005,20231005,,524.2157,14.492,6,_,,,6_N_520_____2_IT_1_6_1551_*__TI_I_23,,,,6_N_520___,6_N_520_____2_IT_1,6_1551,6_1551_*,6_1551_,
58,6,370763,528,N28,1,1,1551,*,,3,TI,I,AV.JUAN HERRERA-MARTIN FIERRO,28,079,MADRID,A,Avda de Juan de Herrera N 6,20231210,20231129,,656.8159,23.348,6,_,,,6_N_528____-_1_IT_1_6_1551_*__TI_I_3,-,-,,6_N_528___,6_N_528____-_1_IT_1,6_1551,6_1551_*,6_1551_,
59,6,369069,046,46,2,1,1554,*,,7,TI,I,AVDA. VALLADOLID,28,079,MADRID,A,Calle de Loeches N 1,20221216,20221219,,205.054,30,6,_,,,6__46_____2_IT_1_6_1554_*__TI_I_7,,604602,,6__46___,6__46____604602_2_IT_1,6_1554,6_1554_*,6_1554_,
60,6,369069,046,46,2,1,1555,*,,8,TI,I,AV.VALLADOLID-BRIGADA TRAFICO,28,079,MADRID,A,Avda de Valladolid N 45,20221216,20221219,,366.765,30,6,_,,,6__46_____2_IT_1_6_1555_*__TI_I_8,,604602,,6__46___,6__46____604602_2_IT_1,6_1555,6_1555_*,6_1555_,
61,6,370490,520,N20,2,1,1555,*,,27,TI,I,AV.VALLADOLID-BRIGADA TRAFICO,28,079,MADRID,A,Avda de Valladolid N 45,20231005,20231005,,571.8204,13.36,6,_,,,6_N_520_____2_IT_1_6_1555_*__TI_I_27,,,,6_N_520___,6_N_520_____2_IT_1,6_1555,6_1555_*,6_1555_,
62,6,341034,075,75,2,1,1557,*,,11,TI,I,PZA. ESPAÑA-CTA. SAN VICENTE,28,079,MADRID,A,Plaza de España N 4,20090921,20090807,,265.1558,9.175,6,92_64,,,6__75_____2_IT_1_6_1557_*__TI_I_11,,,,6__75___,6__75_____2_IT_1,6_1557,6_1557_*,6_1557_,
63,6,364173,025,25,2,1,1557,*,,30,TI,I,PZA. ESPAÑA-CTA. SAN VICENTE,28,079,MADRID,A,Plaza de España N 4,20190911,20190805,,264.7992,12.524,6,92_64,,,6__25____-_2_IT_1_6_1557_*__TI_I_30,-,-,,6__25___,6__25____-_2_IT_1,6_1557,6_1557_*,6_1557_,
64,6,364179,039,39,2,1,1557,*,,30,TI,I,PZA. ESPAÑA-CTA. SAN VICENTE,28,079,MADRID,A,Plaza de España N 4,20190911,20190805,,264.8058,16.625,6,92_64,,,6__39_____2_IT_1_6_1557_*__TI_I_30,,-,,6__39___,6__39____-_2_IT_1,6_1557,6_1557_*,6_1557_,
65,6,367515,148,148,2,1,1557,*,,27,TI,I,PZA. ESPAÑA-CTA. SAN VICENTE,28,079,MADRID,A,Plaza de España N 4,20211120,20211122,,925.383,0,6,92_64,,,6__148_____2_IT_1_6_1557_*__TI_I_27,,,,6__148___,6__148_____2_IT_1,6_1557,6_1557_*,6_1557_,
66,6,367519,003,3,1,1,1557,*,,7,TI,I,PZA. ESPAÑA-CTA. SAN VICENTE,28,079,MADRID,A,Plaza de España N 4,20211121,20211122,,925.383,0,6,92_64,,,6__3_____1_IT_1_6_1557_*__TI_I_7,,,,6__3___,6__3_____1_IT_1,6_1557,6_1557_*,6_1557_,
67,6,369069,046,46,2,1,1557,*,,15,TI,I,PZA. ESPAÑA-CTA. SAN VICENTE,28,079,MADRID,A,Plaza de España N 4,20221216,20221219,,266.6019,10.652,6,92_64,,,6__46_____2_IT_1_6_1557_*__TI_I_15,,604602,,6__46___,6__46____604602_2_IT_1,6_1557,6_1557_*,6_1557_,
68,6,283642,247,247,2,1,1558,*,,20,TI,C,TORTOSA Nº 4,28,079,MADRID,A,Calle de Tortosa N 4,19991221,19861001,,430.8554,9.893,6,_,,,6__47_B____2_IT_1_6_1558_*__TI_C_20,,,,6__47_B__,6__47_B____2_IT_1,6_1558,6_1558_*,6_1558_,
69,6,283962,047,47,2,1,1558,*,,35,TI,C,TORTOSA Nº 4,28,079,MADRID,A,Calle de Tortosa N 4,19991221,19960210,,430.8554,10.87,6,_,,,6__47_A____2_IT_1_6_1558_*__TI_C_35,,,,6__47_A__,6__47_A____2_IT_1,6_1558,6_1558_*,6_1558_,
70,6,359475,055,55,1,1,1558,*,,1,TI,C,TORTOSA Nº 4,28,079,MADRID,A,Calle de Tortosa N 4,20170524,20170524,,0,0,6,_,,,6__55_____1_IT_1_6_1558_*__TI_C_1,,,,6__55___,6__55_____1_IT_1,6_1558,6_1558_*,6_1558_,
71,6,359476,055,55,2,1,1558,*,,32,TI,C,TORTOSA Nº 4,28,079,MADRID,A,Calle de Tortosa N 4,20170524,20170524,,430.8535,13.372,6,_,,,6__55_____2_IT_1_6_1558_*__TI_C_32,,,,6__55___,6__55_____2_IT_1,6_1558,6_1558_*,6_1558_,
72,6,359518,247,247,1,1,1558,*,,1,TI,C,TORTOSA Nº 4,28,079,MADRID,A,Calle de Tortosa N 4,20170525,20170524,,0,0,6,_,,,6__47_B____1_IT_1_6_1558_*__TI_C_1,,,,6__47_B__,6__47_B____1_IT_1,6_1558,6_1558_*,6_1558_,
73,6,359517,047,47,1,1,1558,*,,1,TI,C,TORTOSA Nº 4,28,079,MADRID,A,Calle de Tortosa N 4,20170525,20170524,,0,0,6,_,,,6__47_A____1_IT_1_6_1558_*__TI_C_1,,,,6__47_A__,6__47_A____1_IT_1,6_1558,6_1558_*,6_1558_,
74,6,359475,055,55,1,1,1559,*,,2,TI,I,ANCORA-PASEO DELICIAS,28,079,MADRID,A,Calle de Áncora N 1,20170524,20170524,,514.7321,13.186,6,93_287,,,6__55_____1_IT_1_6_1559_*__TI_I_2,,,,6__55___,6__55_____1_IT_1,6_1559,6_1559_*,6_1559_,
75,6,359517,047,47,1,1,1559,*,,2,TI,I,ANCORA-PASEO DELICIAS,28,079,MADRID,A,Calle de Áncora N 1,20170525,20170524,,514.7321,10.952,6,93_287,,,6__47_A____1_IT_1_6_1559_*__TI_I_2,,,,6__47_A__,6__47_A____1_IT_1,6_1559,6_1559_*,6_1559_,
76,6,359518,247,247,1,1,1559,*,,2,TI,I,ANCORA-PASEO DELICIAS,28,079,MADRID,A,Calle de Áncora N 1,20170525,20170524,,514.7321,9.863,6,93_287,,,6__47_B____1_IT_1_6_1559_*__TI_I_2,,,,6__47_B__,6__47_B____1_IT_1,6_1559,6_1559_*,6_1559_,
77,6,366196,102,102,2,1,1559,*,,28,TI,IN,ANCORA-PASEO DELICIAS,28,079,MADRID,A,Calle de Áncora N 1,20201230,20210101,,394.6784,13.156,6,93_287,,,6__102_____2_IT_1_6_1559_*__TI_IN_28,,610202,,6__102___,6__102____610202_2_IT_1,6_1559,6_1559_*,6_1559_,
78,6,369727,008,8,2,1,1559,*,,34,TI,I,ANCORA-PASEO DELICIAS,28,079,MADRID,A,Calle de Áncora N 1,20230324,20230324,,394.6784,12.946,6,93_287,,,6__8_____2_IT_1_6_1559_*__TI_I_34,,,,6__8___,6__8_____2_IT_1,6_1559,6_1559_*,6_1559_,
79,6,341831,149,149,2,1,1431,*,,12,TI,I,GTA.CUATRO CAMINOS,28,079,MADRID,A,Calle de Raimundo Fernández Villaverde N 1,20100219,20090522,,200.7979,-1,6,91_40,,,6__149_____2_IT_1_6_1431_*__TI_I_12,,,,6__149___,6__149_____2_IT_1,6_1431,6_1431_*,6_1431_,
80,6,283725,124,124,1,1,1432,*,,3,TI,I,BRAVO MURILLO-TERUEL,28,079,MADRID,A,Calle de Bravo Murillo N 154B,19991221,19861001,,272.1644,13.018,6,93_136,,,6__124_____1_IT_1_6_1432_*__TI_I_3,,,,6__124___,6__124_____1_IT_1,6_1432,6_1432_*,6_1432_,
81,6,283879,066,66,1,1,1432,*,,3,TI,I,BRAVO MURILLO-TERUEL,28,079,MADRID,A,Calle de Bravo Murillo N 154B,19991221,19970322,,272.1644,13.281,6,93_136,,,6__66_____1_IT_1_6_1432_*__TI_I_3,,,,6__66___,6__66_____1_IT_1,6_1432,6_1432_*,6_1432_,
