OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN,CODIGOCTMESTACIONREDMETRO
9880,6,343317,524,N24,1,1,5516,*,,40,TI,I,SIERRA DE ATAPUERCA-SAN MILLAN COGOLLA,28,079,MADRID,A,Calle de la Sierra de Atapuerca N 38,20101102,20100925,,367.6859,13.36,6,_,,,6_N_524_____1_IT_1_6_5516_*__TI_I_40,,,,6_N_524___,6_N_524_____1_IT_1,6_5516,6_5516_*,6_5516_,
9881,6,343317,524,N24,1,1,5517,*,,41,TI,I,SIERRA ATAPUERCA-STO. DOMINGO CALZADA,28,079,MADRID,A,Calle de la Sierra de Atapuerca N 42,20101102,20100925,,270.859,13.36,6,93_411,,,6_N_524_____1_IT_1_6_5517_*__TI_I_41,,,,6_N_524___,6_N_524_____1_IT_1,6_5517,6_5517_*,6_5517_,
9882,6,343317,524,N24,1,1,5519,*,,43,TI,I,TIERRA DE MELIDE-SIERRA ATAPUERCA,28,079,MADRID,A,Paseo de la Tierra de Melide N 32B,20101102,20100925,,313.3099,13.36,6,_,,,6_N_524_____1_IT_1_6_5519_*__TI_I_43,,,,6_N_524___,6_N_524_____1_IT_1,6_5519,6_5519_*,6_5519_,
9883,6,358868,176,176,2,1,5519,*,,2,TI,I,TIERRA DE MELIDE-SIERRA ATAPUERCA,28,079,MADRID,A,Paseo de la Tierra de Melide N 32B,20151013,20170313,,380.358,0,6,_,,,6__176_____2_IT_1_6_5519_*__TI_I_2,,,,6__176___,6__176_____2_IT_1,6_5519,6_5519_*,6_5519_,
9884,6,343317,524,N24,1,1,5520,*,,44,TI,I,TIERRA DE MELIDE - GTA. MONTE DEL GOZO,28,079,MADRID,A,Paseo de la Tierra de Melide SN SN,20101102,20100925,,280.534,13.36,6,_,,,6_N_524_____1_IT_1_6_5520_*__TI_I_44,,,,6_N_524___,6_N_524_____1_IT_1,6_5520,6_5520_*,6_5520_,
9885,6,358868,176,176,2,1,5520,*,,3,TI,I,TIERRA DE MELIDE - GTA. MONTE DEL GOZO,28,079,MADRID,A,Paseo de la Tierra de Melide SN SN,20151013,20170313,,280.5354,0,6,_,,,6__176_____2_IT_1_6_5520_*__TI_I_3,,,,6__176___,6__176_____2_IT_1,6_5520,6_5520_*,6_5520_,
9886,6,333607,132,132,2,1,5282,*,,40,TI,I,ARCIPRESTE DE HITA-FERNANDO EL CATOLICO,28,079,MADRID,A,Calle del Arcipreste de Hita N 3,20050331,20050414,,224.2671,13.591,6,90_14,,,6__132_____2_IT_1_6_5282_*__TI_I_40,,,,6__132___,6__132_____2_IT_1,6_5282,6_5282_*,6_5282_,
9887,6,366203,082,82,2,1,5282,*,,36,TI,I,ARCIPRESTE DE HITA-FERNANDO EL CATOLICO,28,079,MADRID,A,Calle del Arcipreste de Hita N 3,20210108,20210112,,224.266,-1,6,90_14,,,6__82_A____2_IT_1_6_5282_*__TI_I_36,,-,,6__82_A__,6__82_A___-_2_IT_1,6_5282,6_5282_*,6_5282_,
9888,6,339726,035,35,2,1,5283,*,,4,TI,I,AV.DE LA PESETA-CORONA,28,079,MADRID,A,Calle de la Corona N 24,20081223,20081210,,259.3408,11.821,6,_,,,6__35_____2_IT_1_6_5283_*__TI_I_4,,,,6__35___,6__35_____2_IT_1,6_5283,6_5283_*,6_5283_,
9889,6,339745,118,118,1,1,5283,*,,34,TI,I,AV.DE LA PESETA-CORONA,28,079,MADRID,A,Calle de la Corona N 24,20081229,20081210,,259.3408,11.433,6,_,,,6__118_____1_IT_1_6_5283_*__TI_I_34,,,,6__118___,6__118_____1_IT_1,6_5283,6_5283_*,6_5283_,
