codigo_parada,longitud,latitud
1,-3.78288324038992,40.4701435453176
2,-3.78595939483902,40.4686722584631
3,-3.78385485986947,40.4649568308556
4,-3.7840971434611,40.461441702189
5,-3.78429132303362,40.4594358959479
6,-3.78360342963404,40.4649855601981
7,-3.78571249363938,40.468457720448406
8,-3.78208948209881,40.4699146794948
9,-3.70439670933612,40.420445146955295
11,-3.6758262570833,40.4716559155998
13,-3.81781762731332,40.4710550989514
14,-3.81757035393849,40.4710928817904
16,-3.81317907849388,40.4669346717542
17,-3.80858622268152,40.4643047130648
18,-3.81359515950879,40.4672020152143
19,-3.81895044027102,40.469137197071994
20,-3.81713851237838,40.4705013431228
21,-3.81317265986086,40.4693400997572
22,-3.81032563898799,40.4689997122779
23,-3.73586437127533,40.4481908682215
24,-3.63769028391414,40.469511879237096
28,-3.68972639781606,40.4650604583015
29,-3.68919516042857,40.4651266846777
30,-3.68813420813401,40.4662410987267
31,-3.68832522654066,40.4664651874285
32,-3.68999243036924,40.4618742013768
33,-3.68953401416295,40.4618499055306
34,-3.6903181502783,40.4583272271004
35,-3.68972082738504,40.4598938448843
36,-3.69048636484967,40.4566100130494
37,-3.69011395962241,40.4557653889151
38,-3.69070017978222,40.4545952297212
39,-3.69023167789544,40.4545890146399
40,-3.62093949143469,40.437607422538996
41,-3.69106443432962,40.4515074777418
42,-3.69051911738704,40.4515197402062
44,-3.69036708497747,40.453124246931
45,-3.69050253264753,40.4516639829628
47,-3.690743512708,40.4493877750635
48,-3.69149742115174,40.44660399979129
49,-3.69169561567856,40.4454091236309
50,-3.69100631164755,40.4468681926684
51,-3.69182365311429,40.4440930445835
52,-3.69114869208245,40.443781760359094
53,-3.69219319534525,40.4410277746673
54,-3.69136922174051,40.4411678325366
56,-3.69040015487589,40.438394335431504
57,-3.68926359716893,40.4350137172231
58,-3.68868499349503,40.4357964397659
59,-3.68880999822339,40.433020918832
60,-3.688075820521251,40.433250509210204
61,-3.689797959676541,40.4291726897342
62,-3.689070877647561,40.429262604324094
63,-3.69062450098304,40.4259064951886
65,-3.69052060156927,40.4238845871756
66,-3.68987341517404,40.4261316934024
68,-3.691518420651541,40.422896648241796
69,-3.69353189605824,40.4197945076749
70,-3.69337395070087,40.4191558117028
71,-3.6926347733348,40.418808882595
72,-3.69214452424823,40.4203613685499
73,-3.692805939465651,40.420235791432695
74,-3.69355075314635,40.419082680646
76,-3.69424254322182,40.417826278800305
77,-3.69465726037455,40.4151300878641
78,-3.69326538812111,40.4156429351348
79,-3.69342851614841,40.4123671696686
80,-3.71126943913134,40.4072003845029
81,-3.69262709547135,40.4099260079139
82,-3.69217764133906,40.4100593263879
83,-3.69359214709933,40.4077760769698
84,-3.69877287374323,40.4062944752711
85,-3.69888240252673,40.4059875063721
86,-3.7024170698747,40.4054345871168
87,-3.69673955379289,40.4044733823515
88,-3.69392739894658,40.4041929673943
89,-3.69316123551764,40.4066615336944
90,-3.69607829125748,40.418671117780995
92,-3.67788462647718,40.3937879013167
93,-3.70676231940857,40.479110778651794
97,-3.68723744496758,40.4548005190438
98,-3.68697997438194,40.4548155604648
99,-3.68583005731183,40.4576106583713
100,-3.68556807332406,40.4574725706888
101,-3.68563627382936,40.4595442325567
102,-3.68539217755317,40.4591718051213
103,-3.68539264083198,40.4619060272971
104,-3.68515710262558,40.4615785937534
105,-3.68456110153939,40.4627082412141
106,-3.68449723125278,40.4623707822566
107,-3.68225678089392,40.4612668930372
108,-3.68223589596495,40.4610237736878
109,-3.68045988143714,40.4604621549067
110,-3.68041351538843,40.4602867522819
111,-3.67673259707916,40.4608578729134
112,-3.67635572069902,40.4609141289471
113,-3.67692669155182,40.4602171006678
114,-3.67631209373524,40.4625945583984
115,-3.67602627093316,40.4625421737283
116,-3.67575356647983,40.4652014135894
117,-3.67537608643268,40.4655684795593
118,-3.67375411495808,40.4686680067273
119,-3.67362251278524,40.4683354406065
120,-3.67339995364037,40.470859246281
123,-3.67749303662272,40.474128143022305
124,-3.67642891385957,40.476873088362396
125,-3.67577492920103,40.479494008660396
126,-3.67550097154182,40.4792343478384
127,-3.67525908565404,40.481001513344594
128,-3.67495168918952,40.4806429478748
129,-3.67213019887274,40.4795872974258
130,-3.67259614521114,40.4798008062757
131,-3.67084371171107,40.4778695442186
132,-3.67090981959499,40.4774727670749
133,-3.6689534663632,40.4769030096428
134,-3.66851634849031,40.4768424717567
135,-3.66851237904806,40.47923437258169
136,-3.6684272967244,40.4785727056398
137,-3.66725480936662,40.480507385225096
138,-3.66726530241246,40.4801514710997
139,-3.66493961406554,40.482628800078096
140,-3.66456003415878,40.4824237736648
145,-3.67590851542907,40.4751599213495
146,-3.67569597864106,40.4731521638426
147,-3.66913942811195,40.4286407481828
148,-3.66891399684667,40.4252546533516
149,-3.66850517560709,40.4248921479329
150,-3.6691885847369,40.4220278306811
151,-3.66871259753054,40.4227693215273
152,-3.66951284088333,40.4214403688043
153,-3.66951034477137,40.4211881300159
154,-3.67310988620475,40.4216087080187
155,-3.67313077218854,40.4213383153577
156,-3.67638859621371,40.4217697858535
157,-3.67645679892832,40.4215171343444
158,-3.68040830135789,40.4217642566523
159,-3.68073563076184,40.4214920618204
161,-3.68919127035982,40.4206852894155
162,-3.68826031065316,40.4196998317684
163,-3.68850871995585,40.4205812410254
164,-3.69714696173351,40.4189619874668
168,-3.70761018385723,40.421587720039405
169,-3.70745560004835,40.421142717488394
170,-3.70970295878423,40.4229938347379
171,-3.71051696529709,40.4230519060504
172,-3.71265807696695,40.425993708654396
173,-3.71313036134631,40.4260628731286
174,-3.68579324191595,40.4205252814885
175,-3.71358496044699,40.4278078226297
176,-3.71172744180731,40.4305399786833
177,-3.7114692086522,40.434010036019
180,-3.70803485701611,40.4405130684806
181,-3.70997716293303,40.4425867582368
182,-3.71238456980618,40.4414368371111
183,-3.71503196131361,40.4424295256612
184,-3.71508130488714,40.4436454353967
185,-3.71420955281916,40.4458535152216
186,-3.71241222722258,40.4459141379506
187,-3.71265274343737,40.4429667164741
188,-3.71282301464341,40.4416413455956
189,-3.71301720573395,40.4388113235219
190,-3.7132305174211,40.4359091099503
191,-3.71342065966853,40.4336061366238
192,-3.71361927557576,40.4310598664836
193,-3.71453003324472,40.427991183945196
194,-3.67918607120403,40.4198615144502
195,-3.67937096912257,40.4196757445474
196,-3.67726147234206,40.4169673684204
197,-3.67650931483764,40.4185168161146
199,-3.6727591978734,40.4183494716017
203,-3.68513420149337,40.4669525814586
204,-3.68559113094258,40.4669723989914
205,-3.6815446595674,40.4674782698903
206,-3.68116542715476,40.4676696900266
207,-3.67961866029863,40.4676337350591
208,-3.67524798080748,40.4674295795025
209,-3.67517202236094,40.4675381301266
210,-3.67273187213851,40.4665568426751
211,-3.67275851334043,40.4668629929445
212,-3.66613802514417,40.4665679400534
213,-3.6657863193028,40.4666014943838
214,-3.66597122049962,40.4675959226354
215,-3.66506535817898,40.4630515961078
216,-3.66504088194221,40.4641598411844
217,-3.66223905439297,40.4611128461684
218,-3.66068169967231,40.4595631881383
219,-3.65944864676668,40.4592098576039
220,-3.65754998553993,40.4568152546627
221,-3.65743381787486,40.4571492469796
222,-3.65546902005714,40.454534263777
223,-3.6553611420454,40.4547736127721
224,-3.65324480659172,40.4519837723668
225,-3.6521943556494,40.4509806851572
226,-3.65161721385567,40.4497947457046
227,-3.65063612284026,40.4492146768111
228,-3.64905394713218,40.446827159270796
229,-3.64896530476758,40.4471519804108
230,-3.64571943086647,40.4448412949917
231,-3.64564453801796,40.4451795505773
232,-3.64395072817575,40.4440808726364
233,-3.64386738510435,40.444306561426004
234,-3.64127684131158,40.442095707819206
235,-3.64029561780838,40.4412858206163
236,-3.63881383043978,40.4386228280816
237,-3.63836749233756,40.4388054696737
239,-3.63741168209885,40.437477398188406
240,-3.63609102292537,40.4349621307091
241,-3.63575064111617,40.4351261622258
242,-3.63446554362392,40.4326196887521
243,-3.6337930378311,40.4325693165967
244,-3.63212542621317,40.4294883296472
245,-3.63160705020907,40.429527193793
246,-3.63088333128641,40.4277743746828
247,-3.63073327093651,40.4281175356367
248,-3.62952727261265,40.4264754413697
250,-3.6280403390237,40.4237717895682
251,-3.62869465091759,40.425362841807406
252,-3.62754725128309,40.4239906793618
253,-3.62575903663998,40.420680517353105
255,-3.67444936660287,40.4247180425148
256,-3.62807518995904,40.418636438924
257,-3.62821037437891,40.418437506519105
258,-3.6300060370574,40.4196529857514
259,-3.63010266692631,40.419467774455406
260,-3.63217369962241,40.420776316414894
261,-3.6322254803444,40.4206408979638
262,-3.63431861893077,40.4219808120735
263,-3.63424303479153,40.4217379815556
264,-3.63526041203627,40.423101781982794
265,-3.63272713007948,40.4232327660232
266,-3.67785505532899,40.4681035313862
268,-3.675681285694131,40.443192870449394
269,-3.66733397983689,40.4970563518681
270,-3.66736154608749,40.4967859251314
271,-3.66965419396059,40.497628533741
272,-3.67001955550643,40.498842624505
273,-3.67489619473516,40.4438010524072
276,-3.65435172961551,40.4422568029246
278,-3.69869872434991,40.4236193151998
280,-3.69937842481208,40.4288945018187
281,-3.69961289326812,40.4287669591199
282,-3.70006464511416,40.4302687354482
283,-3.71048971299063,40.423403425362906
284,-3.69815033086212,40.4321271421345
285,-3.69868000814237,40.4320428661898
286,-3.69432539855262,40.4327897807045
287,-3.69448143552844,40.4330591155163
288,-3.69215708002548,40.432892852179
289,-3.71523606669187,40.4305138542699
292,-3.71242941856285,40.3668956251239
293,-3.68516744436247,40.4586731368197
294,-3.68512419685243,40.4590607789213
295,-3.6823354531414,40.4585457174016
296,-3.68236213424734,40.4588518655507
297,-3.67826719582899,40.4586326838112
298,-3.67832960216094,40.4589746595752
