linea,stopNum,longitude,latitude,distance
054,5705,-3.68956564200968,40.4063091222485,0
054,1402,-3.6850652845399,40.4055295191408,566
054,1404,-3.68048081061466,40.4040655456143,991
054,1406,-3.67828010074476,40.4030514209525,1211
054,1408,-3.675443843254231,40.4015229405229,1505
054,1410,-3.67200861661722,40.3997411078699,1858
054,2058,-3.6700894144279,40.398716183148295,2057
054,1001,-3.66646469865223,40.3968091531234,2430
054,1003,-3.66325496726705,40.395142878165004,2759
054,1005,-3.66095739902163,40.393957802702204,2994
054,1007,-3.65795214624325,40.3923893120913,3303
054,1009,-3.65451260233198,40.391588970289604,3609
054,2514,-3.65370762584821,40.39242235241969,3842
054,2516,-3.65212864084834,40.395016861551206,4177
054,2518,-3.64870902745251,40.39461263530951,4505
054,5055,-3.64626826857571,40.394446096333,4714
054,2520,-3.64423923169937,40.3942051439873,4899
054,2522,-3.6416204819146,40.3926611050292,5239
054,2524,-3.64151495927664,40.3914724886713,5394
054,2526,-3.63897089365545,40.390333384502,5643
054,4102,-3.63754628397817,40.3917016075478,5877
054,2528,-3.63629143461934,40.3910778698112,6044
054,2530,-3.63627950289022,40.3898076521388,6273
054,2532,-3.63968811052561,40.3889240065178,6720
054,1017,-3.63988375992265,40.3871841690298,6966
054,1019,-3.63791945903662,40.3862850825608,7165
054,4725,-3.63325073913155,40.3820583962002,8084
054,4727,-3.630640303618141,40.3824375045381,8307
054,4682,-3.62613449225896,40.383412405437596,8752
054,1027,-3.625137416509551,40.3826069694239,8915
054,5163,-3.62405416668999,40.3813965785462,9094
054,4368,-3.62195553124521,40.379939377073704,9344
054,4696,-3.61929743994893,40.3778815173433,9770
054,4684,-3.620410869652,40.3759295892888,10067
054,4686,-3.61998144305248,40.374057989084,10279
054,4697,-3.61859309490928,40.3716599712628,10568
054,3663,-3.61828577619351,40.3715444928361,10779
142,3030,-3.63523457309576,40.4002549265547,0
142,3026,-3.63653612721167,40.4008153542202,336
142,3336,-3.63786253811411,40.3986954273162,597
142,3335,-3.63937005957134,40.3964213305745,880
142,2522,-3.6416204819146,40.3926611050292,1358
142,3338,-3.64341031821823,40.3902097123588,1670
142,1015,-3.64299875443847,40.3885903594372,1911
142,1017,-3.63988375992265,40.3871841690298,2218
142,1019,-3.63791945903662,40.3862850825608,2418
142,4680,-3.63235875160094,40.3838020272681,3000
142,1023,-3.63005982551922,40.3830442735387,3210
142,4682,-3.62613449225896,40.383412405437596,3542
142,1027,-3.625137416509551,40.3826069694239,3705
142,5163,-3.62405416668999,40.3813965785462,3885
142,4368,-3.62195553124521,40.379939377073704,4135
142,4696,-3.61929743994893,40.3778815173433,4561
142,3339,-3.621010370047701,40.3760299825378,4854
142,3340,-3.62291106663101,40.3745918325629,5082
142,3341,-3.62206827201239,40.371686411160205,5431
142,3342,-3.62084259018892,40.3703326058755,5658
142,4689,-3.61858421644144,40.370687032032805,5853
142,3946,-3.61820386777582,40.3697881482981,6046
142,3947,-3.62337024186762,40.368481170408806,6664
142,3949,-3.62049455297024,40.367055143726,6955
142,3847,-3.61599095717825,40.367326924998,7518
142,3951,-3.61105836663296,40.3668890716342,8104
142,3953,-3.60923596139975,40.36905635754069,8411
142,3955,-3.6073382081187,40.371043826334095,8708
142,4315,-3.60177146803377,40.3678205697138,9360
142,3851,-3.60319553365509,40.3653311455128,9716
142,3853,-3.6000239878993,40.3637665054394,10037
142,3855,-3.59718815645208,40.3623577082552,10326
142,3964,-3.59505034428205,40.3612515701351,10546
142,3965,-3.59264869959604,40.360101695891,10785
142,3935,-3.59123567566798,40.3598791799867,10941
144,3035,-3.63532799834141,40.4001643233388,0
144,3026,-3.63653612721167,40.4008153542202,323
144,3336,-3.63786253811411,40.3986954273162,584
144,3335,-3.63937005957134,40.3964213305745,868
144,2522,-3.6416204819146,40.3926611050292,1346
144,2524,-3.64151495927664,40.3914724886713,1500
144,2526,-3.63897089365545,40.390333384502,1750
144,2532,-3.63968811052561,40.3889240065178,1966
144,3343,-3.64104303073248,40.3870110914798,2212
144,3345,-3.64283154149286,40.3846272813209,2517
144,2081,-3.64480382055704,40.3829586443552,2786
144,2083,-3.6466839287666,40.3824436542294,2956
144,2085,-3.64906953754444,40.3818176930546,3170
144,2581,-3.65140150376096,40.3820118133258,3431
144,3304,-3.65362657353755,40.3816569340542,3635
144,2579,-3.65588664851537,40.3798243196805,4028
144,2580,-3.65827608251467,40.3798377938047,4231
144,2574,-3.66207356969698,40.380365707934,4578
144,2572,-3.66361007831696,40.3820776554793,5005
144,2570,-3.66341099509427,40.3834031342033,5184
144,2568,-3.66398019481893,40.3861836853343,5510
144,1111,-3.66458229492835,40.3872838470456,5700
144,1112,-3.6661131502339,40.3854777388214,5937
144,1113,-3.66734924475169,40.3841057453569,6125
144,1114,-3.66835132629048,40.3830143710917,6273
144,4743,-3.67011840459856,40.3814005415079,6515
144,4751,-3.66915053971451,40.3812169453456,6663
134,5610,-3.68859004621175,40.4683960360462,0
134,1487,-3.68750264083687,40.4711547368135,701
134,3826,-3.68721993909491,40.4722104636438,821
134,1489,-3.68842539124346,40.4754600397673,1308
134,1732,-3.69159187015038,40.4793420424578,1858
134,4651,-3.69413410468,40.4796015999372,2073
134,1734,-3.69709844675376,40.4798900916591,2327
134,1736,-3.70064117690819,40.4802020348529,2628
134,1544,-3.70430891219517,40.4800176169722,2981
134,5329,-3.70470193807602,40.4812179187581,3118
