linea,stopNum,latitude,longitude,distance
054,3663,-3.61828577619351,40.3715444928361,0
054,4687,-3.61981776883084,40.37419400174019,324
054,4685,-3.6202102041716,40.375885617985,515
054,1051,-3.6190795932068,40.3778916906868,791
054,1031,-3.62114295196961,40.3801329278572,1173
054,4367,-3.62373866249327,40.3816775602107,1465
054,4683,-3.62624218558543,40.38359200564769,1856
054,4729,-3.63076682476926,40.3826215026075,2292
054,4726,-3.63362618813768,40.3824437352921,2585
054,1020,-3.63778011801897,40.3865020683211,3355
054,1018,-3.63976824177604,40.387428052867996,3551
054,2533,-3.63892560562486,40.3892795694742,3815
054,5985,-3.63573389184781,40.3898151521439,4209
054,5965,-3.63613378329349,40.3912679267115,4372
054,4103,-3.63780803975452,40.3919704396316,4527
054,2527,-3.63916289204089,40.3907016984193,4750
054,2525,-3.641269578650801,40.3916900656232,4960
054,2523,-3.64106662041679,40.392655162309296,5124
054,2521,-3.64338978801276,40.3940567104341,5389
054,5056,-3.646293639451891,40.3946351457086,5656
054,2519,-3.64912367027639,40.3948445488537,5904
054,2517,-3.65238024393833,40.3952947265675,6214
054,2515,-3.65435877077289,40.3922835395612,6590
054,1008,-3.65797709319483,40.392569352215695,6987
054,1006,-3.66081767732762,40.3941297725623,7283
054,1004,-3.66338207109605,40.395412422856595,7544
054,1002,-3.66598150140836,40.3968029232893,7812
054,2057,-3.67055414384386,40.3992360201146,8286
054,1411,-3.67188216809509,40.3999130138917,8421
054,1409,-3.67542264825335,40.4017978408224,8787
054,1407,-3.67807710983386,40.4032282864017,9063
054,1405,-3.68147777661348,40.4047263546129,9395
054,1403,-3.68494989961989,40.4057734463028,9710
054,5705,-3.68956564200968,40.4063091222485,10307
142,3935,-3.59123567566798,40.3598791799867,0
142,3966,-3.59231257523056,40.3605538723356,131
142,4317,-3.59646479744553,40.3626362129844,554
142,3854,-3.59967130261428,40.3641737429302,876
142,4318,-3.60013770550064,40.3661353230328,1200
142,4112,-3.60097200785184,40.3680724702191,1506
142,3956,-3.60729198072364,40.3711431691503,2163
142,3954,-3.60942968354915,40.3691499348008,2505
142,3952,-3.61124648283412,40.3669736663106,2815
142,3848,-3.61590294907923,40.3674445116826,3354
142,3950,-3.61814446516901,40.3660992221554,3694
142,4223,-3.62070347325853,40.3673603355243,3952
142,3948,-3.62328674953217,40.3686482886331,4214
142,5052,-3.61739233579293,40.369842025595396,4863
142,5053,-3.6186328091805,40.3708083959348,5073
142,4698,-3.62081196639388,40.3704453841635,5263
142,4699,-3.62199129759276,40.3720832262764,5536
142,4700,-3.62265045244768,40.3746337744948,5863
142,4701,-3.62093481772947,40.375940296193406,6068
142,1051,-3.6190795932068,40.3778916906868,6357
142,1031,-3.62114295196961,40.3801329278572,6738
142,4367,-3.62373866249327,40.3816775602107,7030
142,4683,-3.62624218558543,40.38359200564769,7421
142,1024,-3.63002312939858,40.3832156462646,7751
142,4681,-3.63224000426058,40.3839783530552,7962
142,1020,-3.63778011801897,40.3865020683211,8568
142,1018,-3.63976824177604,40.387428052867996,8764
142,1016,-3.64299599422774,40.3888426296004,9079
142,3337,-3.643021444267,40.3900497077878,9257
142,2523,-3.64106662041679,40.392655162309296,9591
142,847,-3.63912167857703,40.396323601222,10049
142,848,-3.63765508083916,40.3986425149509,10335
142,3334,-3.63628024209442,40.4007041464669,10592
142,3030,-3.63523457309576,40.4002549265547,10795
144,4751,-3.66915053971451,40.3812169453456,0
144,1099,-3.66764815065549,40.3824193207221,186
144,1100,-3.66658374668455,40.3835380749647,340
144,3347,-3.66451565163455,40.3831175203123,680
144,4597,-3.66325472083229,40.3818814903395,857
144,4598,-3.66145774719685,40.3802250801922,1155
144,2575,-3.65966618147853,40.3799470046685,1319
144,2576,-3.65813699588419,40.3789737093742,1489
144,3307,-3.65675813420101,40.3813509309277,1902
144,3305,-3.65346802594558,40.3813650324568,2181
144,2088,-3.65133019296907,40.3816788772292,2369
144,2086,-3.6489385708129,40.3816742810019,2628
144,2084,-3.64589453724391,40.3824390490078,2900
144,2082,-3.64464852764704,40.382734280859,3011
144,3346,-3.64252200568755,40.3846380076247,3299
144,3344,-3.64063582078935,40.3870899214838,3614
144,2533,-3.63892560562486,40.3892795694742,3899
144,2527,-3.63916289204089,40.3907016984193,4149
144,2525,-3.6412695786508,40.3916900656232,4359
144,2523,-3.64106662041679,40.3926551623093,4523
144,847,-3.63912167857703,40.396323601222,4982
144,848,-3.63765508083916,40.3986425149509,5268
144,3334,-3.63628024209442,40.4007041464669,5524
144,3035,-3.63532799834141,40.4001643233388,5740
134,3279,-3.69223918085228,40.5107117482951,0
134,1026,-3.69365110568925,40.5096267319485,179
134,1028,-3.69555694373014,40.5073675739281,477
134,1029,-3.69709223464737,40.5056331326149,711
134,3626,-3.69917156620408,40.5045485313184,933
134,3628,-3.70239479593698,40.5044073962138,1213
134,3627,-3.70643091728426,40.5046891356179,1556
134,3625,-3.70907009007693,40.5042495791698,1809
134,3624,-3.70704303812786,40.5033385667387,2071
134,3635,-3.70719107240429,40.501698041282,2254
134,3622,-3.7087246699161,40.4992112108779,2648
134,1759,-3.70714137494604,40.4981533384275,2849
134,1761,-3.70476487957564,40.4969561335749,3090
134,3996,-3.70752582535981,40.4952501181541,3459
134,1752,-3.70942517328534,40.494806064652,3628
134,3296,-3.71049208163016,40.4935833166391,3800
134,1748,-3.71389570471666,40.494057864999,4202
134,1746,-3.71347754323508,40.491898302573,4443
134,1744,-3.71425408147741,40.4895917335943,4726
134,1742,-3.7143498405683,40.4867938708718,5051
134,1740,-3.71440077480862,40.483802591335,5382
134,1549,-3.70822391829635,40.4848135127,6121
134,1547,-3.70578226936992,40.4828779907754,6424
134,5330,-3.70501504341099,40.4810133111042,6657
134,1545,-3.70462907001205,40.4800652178163,6767
134,3392,-3.70323455491748,40.479560187974,6949
134,1737,-3.70050740452416,40.4799596029444,7187
134,1735,-3.69699984778152,40.4796249214709,7493
134,1733,-3.69307411120795,40.4792430885084,7823
134,5363,-3.68856044197946,40.4800988462667,8335
134,1640,-3.68616152891645,40.4798653435773,8541
134,3932,-3.68635282079156,40.4785173717076,8722
134,3933,-3.68701356190449,40.476094548905,8996
134,1526,-3.6879519612451,40.4730664716478,9342
134,1527,-3.6884989532728,40.4709956637057,9576
134,5610,-3.68859004621175,40.4683960360462,9897
023,3880,-3.69258316077352,40.3507094581845,0
023,1793,-3.69123138447347,40.3526454885805,532
023,3415,-3.68918271920007,40.3550000711036,868
023,3200,-3.68942573314902,40.3580527226929,1212
023,3197,-3.6889399145491,40.358920489836,1374
023,4871,-3.68594125291525,40.3592220721044,1638
023,1797,-3.68463212631682,40.3580180875474,1936
023,1799,-3.68282730195024,40.3600287677408,2207
023,5775,-3.68453190160959,40.3634376729384,2677
023,4868,-3.68854259667626,40.3661842094896,3139
023,4866,-3.69012971135502,40.367048649681294,3305
023,945,-3.69153922741454,40.368107824299194,3493
023,944,-3.69211744819208,40.3715999079195,3894
023,942,-3.6922210171021,40.372765969095404,4023
023,940,-3.6923982569798,40.3746568228682,4233
023,938,-3.69174877247995,40.3772057760407,4537
023,5125,-3.69088822380915,40.379062282862,4785
023,946,-3.69372589648266,40.3823696797206,5256
023,935,-3.69549814153541,40.3816067920422,5583
023,933,-3.69579879805612,40.384605014765995,5917
023,931,-3.69828101933867,40.387459471465895,6303
023,929,-3.69991641048252,40.3888730357492,6528
023,927,-3.70170303324207,40.390447823693904,6759
023,925,-3.70352232763223,40.3920404030941,6993
023,923,-3.70788162804468,40.3942571003373,7437
023,921,-3.7114814234951,40.3959377559176,7795
023,919,-3.71453699483631,40.3973964308901,8101
023,917,-3.71382125666355,40.4016351045896,9143
023,4481,-3.71305251632722,40.4030182265562,9309
023,915,-3.71251453852956,40.4043548782974,9464
023,593,-3.71172755977872,40.4059002661373,9648
023,4780,-3.71113293266234,40.4076336573501,9869
023,548,-3.70972774071859,40.4096242690145,10123
023,546,-3.70793617996001,40.4118694790403,10429
023,912,-3.70636099901751,40.4135773029372,10750
