from_node,to_node,edge,from_lat,from_lon,to_lat,to_lon,n_buses,weight
28041,28021,18,0.12522473458801742,0.5162545537501012,0.0,0.5250897459232466,15,0.5769230769230769
28041,28021,116,0.12522473458801742,0.5162545537501012,0.0,0.5250897459232466,15,0.5769230769230769
28033,28043,87,0.814041833236785,0.6806399467739999,0.7336027951957157,0.7139572584965097,15,0.5769230769230769
28050,28055,N2,0.9669028454886545,0.6482433402744147,0.9099566950830811,0.8089763477641735,4,0.15384615384615385
28035,28040,82,0.8288252665206445,0.4127681811668954,0.6295308318348966,0.40423583120802814,4,0.15384615384615385
28035,28040,N20,0.8288252665206445,0.4127681811668954,0.6295308318348966,0.40423583120802814,4,0.15384615384615385
28030,28007,20,0.37201594199146193,0.7237280823650205,0.3848456488331497,0.6089426049396386,9,0.34615384615384615
28030,28007,30,0.37201594199146193,0.7237280823650205,0.3848456488331497,0.6089426049396386,9,0.34615384615384615
28030,28007,32,0.37201594199146193,0.7237280823650205,0.3848456488331497,0.6089426049396386,9,0.34615384615384615
28030,28007,N8,0.37201594199146193,0.7237280823650205,0.3848456488331497,0.6089426049396386,9,0.34615384615384615
28011,28047,17,0.3940304837161055,0.3551465209615621,0.28936087657609366,0.32478256298964686,6,0.23076923076923078
28011,28047,N16,0.3940304837161055,0.3551465209615621,0.28936087657609366,0.32478256298964686,6,0.23076923076923078
28034,28035,64,0.9179212336996587,0.5147379330187924,0.8288252665206445,0.4127681811668954,8,0.3076923076923077
28034,28029,67,0.9179212336996587,0.5147379330187924,0.8279165549079127,0.5005605960613324,10,0.38461538461538464
28034,28029,N22,0.9179212336996587,0.5147379330187924,0.8279165549079127,0.5005605960613324,10,0.38461538461538464
28027,28037,105,0.6095338683840268,0.7210870895887964,0.5325953053433123,0.7925591243611104,6,0.23076923076923078
28009,28007,NC1,0.4758814512675327,0.6031612612471213,0.3848456488331497,0.6089426049396386,14,0.5384615384615384
28049,28034,SE704,1.0,0.49411688283457306,0.9179212336996587,0.5147379330187924,8,0.3076923076923077
28019,28047,25,0.3004112705330837,0.42146957347405467,0.28936087657609366,0.32478256298964686,5,0.19230769230769232
28035,28034,49,0.8288252665206445,0.4127681811668954,0.9179212336996587,0.5147379330187924,8,0.3076923076923077
28030,28032,N8,0.37201594199146193,0.7237280823650205,0.3749273235969399,0.8419021035095611,6,0.23076923076923078
28029,28034,67,0.8279165549079127,0.5005605960613324,0.9179212336996587,0.5147379330187924,10,0.38461538461538464
28007,28038,63,0.3848456488331497,0.6089426049396386,0.3111113088064097,0.6889400038267626,8,0.3076923076923077
28007,28038,143,0.3848456488331497,0.6089426049396386,0.3111113088064097,0.6889400038267626,8,0.3076923076923077
28007,28038,145,0.3848456488331497,0.6089426049396386,0.3111113088064097,0.6889400038267626,8,0.3076923076923077
28007,28038,E,0.3848456488331497,0.6089426049396386,0.3111113088064097,0.6889400038267626,8,0.3076923076923077
28007,28038,N9,0.3848456488331497,0.6089426049396386,0.3111113088064097,0.6889400038267626,8,0.3076923076923077
28038,28031,63,0.3111113088064097,0.6889400038267626,0.20752381156562513,0.80487146452516,4,0.15384615384615385
28038,28031,145,0.3111113088064097,0.6889400038267626,0.20752381156562513,0.80487146452516,4,0.15384615384615385
28038,28031,E,0.3111113088064097,0.6889400038267626,0.20752381156562513,0.80487146452516,4,0.15384615384615385
28038,28031,N9,0.3111113088064097,0.6889400038267626,0.20752381156562513,0.80487146452516,4,0.15384615384615385
28031,28032,E,0.20752381156562513,0.80487146452516,0.3749273235969399,0.8419021035095611,5,0.19230769230769232
28015,28003,N21,0.554556716871475,0.4618178607605547,0.6229384194838817,0.48632740320292644,3,0.11538461538461539
28003,28039,44,0.6229384194838817,0.48632740320292644,0.7178256611527019,0.4697597455420597,3,0.11538461538461539
28003,28039,N21,0.6229384194838817,0.48632740320292644,0.7178256611527019,0.4697597455420597,3,0.11538461538461539
28039,28040,44,0.7178256611527019,0.4697597455420597,0.6295308318348966,0.40423583120802814,2,0.07692307692307693
28040,28039,44,0.6295308318348966,0.40423583120802814,0.7178256611527019,0.4697597455420597,2,0.07692307692307693
28027,28022,114,0.6095338683840268,0.7210870895887964,0.5916338214391743,0.8795588985394235,4,0.15384615384615385
28027,28022,N4,0.6095338683840268,0.7210870895887964,0.5916338214391743,0.8795588985394235,4,0.15384615384615385
28032,28030,N8,0.3749273235969399,0.8419021035095611,0.37201594199146193,0.7237280823650205,9,0.34615384615384615
