codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,C2,Avda de la Ciudad de Barcelona 2,28007,2
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,N10,Avda de la Ciudad de Barcelona 2,28007,2
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,N11,Avda de la Ciudad de Barcelona 2,28007,2
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,N13,Avda de la Ciudad de Barcelona 2,28007,2
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,N25,Avda de la Ciudad de Barcelona 2,28007,2
462,1401,AV.CDAD.BARCELONA-ESTACIÓN ATOCHA,N9,Avda de la Ciudad de Barcelona 2,28007,2
6119,5727,Pº PRADO-PZA DE CIBELES,E1,Paseo del Prado 1,28014,3
6119,5727,Pº PRADO-PZA DE CIBELES,N2,Paseo del Prado 1,28014,3
6119,5727,Pº PRADO-PZA DE CIBELES,N3,Paseo del Prado 1,28014,3
3994,71,Pº DEL PRADO-PZA.DE CIBELES,203,Paseo del Prado 1,28014,3
3994,71,Pº DEL PRADO-PZA.DE CIBELES,N27,Paseo del Prado 1,28014,3
