codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada
14,452,SERRANO-MUSEO ARQUEOLOGICO,51,Calle de Serrano 16,28001,4
14,452,SERRANO-MUSEO ARQUEOLOGICO,74,Calle de Serrano 16,28001,4
14,452,SERRANO-MUSEO ARQUEOLOGICO,N4,Calle de Serrano 16,28001,4
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,5,Calle de Zurbarán 32,28046,7
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,14,Calle de Zurbarán 32,28046,7
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,27,Calle de Zurbarán 32,28046,7
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,45,Calle de Zurbarán 32,28046,7
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,150,Calle de Zurbarán 32,28046,7
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,N1,Calle de Zurbarán 32,28046,7
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,N22,Calle de Zurbarán 32,28046,7
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,N24,Calle de Zurbarán 32,28046,7
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,N25,Calle de Zurbarán 32,28046,7
230,61,Pº CASTELLANA-MINISTERIO INTERIOR,N26,Calle de Zurbarán 32,28046,7
190,62,Pº CASTELLANA-MARQUES VILLAMAGNA,5,Paseo de la Castellana 20,28046,4
190,62,Pº CASTELLANA-MARQUES VILLAMAGNA,14,Paseo de la Castellana 20,28046,4
190,62,Pº CASTELLANA-MARQUES VILLAMAGNA,27,Paseo de la Castellana 20,28046,4
190,62,Pº CASTELLANA-MARQUES VILLAMAGNA,45,Paseo de la Castellana 20,28046,4
190,62,Pº CASTELLANA-MARQUES VILLAMAGNA,150,Paseo de la Castellana 20,28046,4
190,62,Pº CASTELLANA-MARQUES VILLAMAGNA,N1,Paseo de la Castellana 20,28046,4
190,62,Pº CASTELLANA-MARQUES VILLAMAGNA,N22,Paseo de la Castellana 20,28046,4
190,62,Pº CASTELLANA-MARQUES VILLAMAGNA,N24,Paseo de la Castellana 20,28046,4
1026,2210,MENENDEZ PELAYO-PZA.MARIANO CAVIA,26,Avda de Menéndez Pelayo 91,28007,3
1026,2210,MENENDEZ PELAYO-PZA.MARIANO CAVIA,63,Avda de Menéndez Pelayo 91,28007,3
1026,2210,MENENDEZ PELAYO-PZA.MARIANO CAVIA,152,Avda de Menéndez Pelayo 91,28007,3
1026,2210,MENENDEZ PELAYO-PZA.MARIANO CAVIA,C2,Avda de Menéndez Pelayo 91,28007,3
1040,2044,Pº INFANTA ISABEL-MINISTERIO DE AGRICULTURA,26,Paseo de la Infanta Isabel 1,28014,3
1040,2044,Pº INFANTA ISABEL-MINISTERIO DE AGRICULTURA,32,Paseo de la Infanta Isabel 1,28014,3
1040,2044,Pº INFANTA ISABEL-MINISTERIO DE AGRICULTURA,37,Paseo de la Infanta Isabel 1,28014,3
105,1862,GRAL.ALVAREZ CASTRO-VIRIATO,3,Calle del General Álvarez de Castro 23,28010,7
1051,36,Pº CASTELLANA-SAN GERMAN,5,Paseo de la Castellana 115,28046,6
1051,36,Pº CASTELLANA-SAN GERMAN,27,Paseo de la Castellana 115,28046,6
1051,36,Pº CASTELLANA-SAN GERMAN,40,Paseo de la Castellana 115,28046,6
1051,36,Pº CASTELLANA-SAN GERMAN,147,Paseo de la Castellana 115,28046,6
1051,36,Pº CASTELLANA-SAN GERMAN,N22,Paseo de la Castellana 115,28046,6
1051,36,Pº CASTELLANA-SAN GERMAN,N24,Paseo de la Castellana 115,28046,6
1061,2558,CONCEJAL FCO.J.JIMENEZ-CARBONERAS,55,Calle del Concejal Francisco José Jiménez Martín 142,28047,10
1061,2558,CONCEJAL FCO.J.JIMENEZ-CARBONERAS,N18,Calle del Concejal Francisco José Jiménez Martín 142,28047,10
1077,3945,FENELON-LAS MUSAS,28,Calle de Fenelón SN,28022,20
1077,3945,FENELON-LAS MUSAS,48,Calle de Fenelón SN,28022,20
11,733,J.ORTEGA Y GASSET-CLAUDIO COELLO,1,Calle de José Ortega y Gasset 15,28006,4
11,733,J.ORTEGA Y GASSET-CLAUDIO COELLO,74,Calle de José Ortega y Gasset 15,28006,4
1112,1836,ARTURO SORIA-CTA.SGDO.CORAZON,29,Calle de Arturo Soria 257,28033,15
