,codigo_estacion,codigo_parada,nombre_parada,linea,direccion_parada,cp_parada,distrito_parada,longitud,latitud
1114,3105,3346,RAFAEL ALBERTI-EXTREMEÑOS,N10,Avda de Rafael Alberti 39,28018,13,-3.64252200568755,40.3846380076247
1115,3106,3350,AVDA.MEDITERRANEO-MORATALAZ,145,Calle de El Bosco 20,28038,13,-3.649513421260501,40.4003514201831
1116,3106,3350,AVDA.MEDITERRANEO-MORATALAZ,E,Calle de El Bosco 20,28038,13,-3.649513421260501,40.4003514201831
1117,3107,3351,AV.MEDITERRANEO-PIO FELIPE,145,Calle de El Bosco 22,28038,13,-3.646877882727591,40.3979742564966
1118,3107,3351,AV.MEDITERRANEO-PIO FELIPE,E,Calle de El Bosco 22,28038,13,-3.646877882727591,40.3979742564966
1119,3108,4283,AV.MEDITERRANEO-AV.DEMOCRACIA,145,Calle de la Tacona 1,28030,14,-3.64113671758684,40.395470116185095
1120,3108,4283,AV.MEDITERRANEO-AV.DEMOCRACIA,E,Calle de la Tacona 1,28030,14,-3.64113671758684,40.395470116185095
1121,3116,4429,LOPEZ ARANDA-GRAL.ARANAZ,146,Calle de López de Aranda 13,28027,15,-3.63873778958117,40.4425872174426
1122,3117,763,A.LOPEZ CASERO-PZA.JOSE BANUS,146,Calle del Alcalde López Casero 15,28027,15,-3.65590310543296,40.4340543214311
1123,3122,1767,SAN BERNARDO-MINISTERIO JUSTICIA,147,Calle de San Bernardo 56,28004,1,-3.70732259119029,40.4253327285344
1124,3123,1769,SAN BERNARDO-DAOIZ,147,Calle de San Bernardo 72,28015,1,-3.70635267947265,40.4273161300114
1125,3133,1770,SAN BERNARDO-DAOIZ,3,Calle de San Bernardo 75,28015,1,-3.70662309780189,40.4272108763476
1126,3133,1770,SAN BERNARDO-DAOIZ,147,Calle de San Bernardo 75,28015,1,-3.70662309780189,40.4272108763476
1127,3732,4698,PEÑA CERVERA-FUENTIDUEÑA,142,Calle de Peña Cervera 16,28031,18,-3.62081196639388,40.3704453841635
1128,2075,2729,HACIENDA PAVONES-FTE.CARRANTONA,71,Calle de la Hacienda de Pavones SN,28030,14,-3.63686556501353,40.4013856203309
1129,2076,1053,HACIENDA PAVONES-MERCADO,71,Calle de la Hacienda de Pavones 171,28030,14,-3.63985307092684,40.4026439418679
1130,2076,1053,HACIENDA PAVONES-MERCADO,100,Calle de la Hacienda de Pavones 171,28030,14,-3.63985307092684,40.4026439418679
1131,2077,842,HACIENDA PAVONES-PZA.C.MACEDA Y TABOADA,71,Calle de la Hacienda de Pavones 177,28030,14,-3.64243671972852,40.402935950231
1132,2077,842,HACIENDA PAVONES-PZA.C.MACEDA Y TABOADA,100,Calle de la Hacienda de Pavones 177,28030,14,-3.64243671972852,40.402935950231
1133,2080,2727,CNO. VINATEROS- ARROYO BELINCOSO,71,Calle del Camino de los Vinateros 77,28030,14,-3.65014056606608,40.4099380612943
1134,2081,2721,ARROYO BELINCOSO-Cº VINATEROS,71,Calle del Arroyo Belincoso 40,28030,14,-3.65221937218043,40.4108588124858
1135,2082,2719,DR.GARCIA TAPIA-ARROYO MEDIA LEGUA,71,Avda del Doctor García Tapia SN,28030,14,-3.65348850608475,40.4124507676752
1136,2084,2715,FELIX RGUEZ.DE LA FUENTE Nº 12,71,Calle de Félix Rodríguez de la Fuente 8,28030,14,-3.65755410408814,40.4152160613831
1137,2087,2735,MAR CASPIO-LIBERACION,72,Plaza de Chabuca Granda SN,28033,16,-3.64319969422435,40.4732741851316
1138,2090,2741,ZAPATOCA-AV.BUCARAMANGA,72,Calle de Zapatoca 2,28033,16,-3.63343531814716,40.472409097002
1139,2091,2740,ZIPAQUIRA-LURUACO,72,Calle de Zipaquira 6,28033,16,-3.63511941389222,40.4734359041577
1140,2097,5545,CTRA.CANILLAS-GTA. PILAR MIRO,73,Gta de Pilar Miró 1,28043,16,-3.65763825643204,40.4630444681729
1141,2097,5545,CTRA.CANILLAS-GTA. PILAR MIRO,N3,Gta de Pilar Miró 1,28043,16,-3.65763825643204,40.4630444681729
1142,2098,2757,CTRA.CANILLAS-CARRIL DEL CONDE,73,Ctra de Canillas SN,28043,16,-3.65371796552774,40.4635981972053
1143,2098,2757,CTRA.CANILLAS-CARRIL DEL CONDE,N3,Ctra de Canillas SN,28043,16,-3.65371796552774,40.4635981972053
1144,2099,2759,CTRA.CANILLAS-MATAPOZUELOS,73,Ctra de Canillas 40,28043,16,-3.6508344710674,40.4629612890421
1145,2099,2759,CTRA.CANILLAS-MATAPOZUELOS,N3,Ctra de Canillas 40,28043,16,-3.6508344710674,40.4629612890421
1146,2107,2766,CTRA.CANILLAS-TORQUEMADA,73,Ctra de Canillas 103,28043,16,-3.641698739943561,40.4651113702775
1147,2107,2766,CTRA.CANILLAS-TORQUEMADA,N3,Ctra de Canillas 103,28043,16,-3.641698739943561,40.4651113702775
1148,1977,1377,FERMIN CABALLERO Nº 14,67,Calle de Fermín Caballero 9,28034,8,-3.7004260809837,40.4867618436649
1149,1977,1377,FERMIN CABALLERO Nº 14,83,Calle de Fermín Caballero 9,28034,8,-3.7004260809837,40.4867618436649
1150,1978,1612,FERMIN CABALLERO-PATONES,67,Calle de Fermín Caballero 38,28034,8,-3.70392726821971,40.4853171942207
1151,1978,1612,FERMIN CABALLERO-PATONES,124,Calle de Fermín Caballero 38,28034,8,-3.70392726821971,40.4853171942207
1152,1978,1612,FERMIN CABALLERO-PATONES,133,Calle de Fermín Caballero 38,28034,8,-3.70392726821971,40.4853171942207
1153,1978,1612,FERMIN CABALLERO-PATONES,N23,Calle de Fermín Caballero 38,28034,8,-3.70392726821971,40.4853171942207
1154,1982,1360,FERMIN CABALLERO-AV.BETANZOS,67,Calle de Fermín Caballero 74,28034,8,-3.71432682724388,40.4817625238695
1155,1982,1360,FERMIN CABALLERO-AV.BETANZOS,83,Calle de Fermín Caballero 74,28034,8,-3.71432682724388,40.4817625238695
1156,1982,1360,FERMIN CABALLERO-AV.BETANZOS,124,Calle de Fermín Caballero 74,28034,8,-3.71432682724388,40.4817625238695
1157,1982,1360,FERMIN CABALLERO-AV.BETANZOS,127,Calle de Fermín Caballero 74,28034,8,-3.71432682724388,40.4817625238695
1158,1982,1360,FERMIN CABALLERO-AV.BETANZOS,133,Calle de Fermín Caballero 74,28034,8,-3.71432682724388,40.4817625238695
1159,1987,1629,ROSALIA DE CASTRO Nº 75,67,Calle de Rosalía de Castro 75,28035,8,-3.73166903940307,40.4843884135129
1160,1987,1629,ROSALIA DE CASTRO Nº 75,82,Calle de Rosalía de Castro 75,28035,8,-3.73166903940307,40.4843884135129
1161,1992,1632,ROSALIA DE CASTRO-G.MISTRAL,67,Calle de Rosalía de Castro 67,28035,8,-3.73362918611688,40.4841192519206
1162,1992,1632,ROSALIA DE CASTRO-G.MISTRAL,N20,Calle de Rosalía de Castro 67,28035,8,-3.73362918611688,40.4841192519206
1163,1993,1630,ROSALIA DE CASTRO Nº75,67,Calle de Rosalía de Castro 84,28035,8,-3.7315843033048,40.4841907527146
1164,1993,1630,ROSALIA DE CASTRO Nº75,82,Calle de Rosalía de Castro 84,28035,8,-3.7315843033048,40.4841907527146
1165,1993,1630,ROSALIA DE CASTRO Nº75,N20,Calle de Rosalía de Castro 84,28035,8,-3.7315843033048,40.4841907527146
1166,1994,1628,RAMON GOMEZ SERNA-A.CASONA,67,Calle de Ramón Gómez de la Serna 28,28035,8,-3.7292718682203,40.483115264862
1167,1994,1628,RAMON GOMEZ SERNA-A.CASONA,N20,Calle de Ramón Gómez de la Serna 28,28035,8,-3.7292718682203,40.483115264862
1168,2546,4509,AV.GUADALAJARA-ALBERICIA,106,Avda de Guadalajara 105,28037,20,-3.61296649291395,40.422388567650806
1169,2546,4509,AV.GUADALAJARA-ALBERICIA,140,Avda de Guadalajara 105,28037,20,-3.61296649291395,40.422388567650806
