from_node,to_node,edge,from_lat,from_lon,to_lat,to_lon,n_buses,weight
15,16,87,0.6571836597646771,0.6408239630563045,0.8970853760586778,0.6966178100730135,15,0.4166666666666667
14,3,20,0.389993806216278,0.6923223514616834,0.4373830921323887,0.47565194693275237,9,0.25
14,3,30,0.389993806216278,0.6923223514616834,0.4373830921323887,0.47565194693275237,9,0.25
14,3,32,0.389993806216278,0.6923223514616834,0.4373830921323887,0.47565194693275237,9,0.25
14,3,N8,0.389993806216278,0.6923223514616834,0.4373830921323887,0.47565194693275237,9,0.25
11,10,17,0.2180621229925663,0.11977590928297571,0.3166404474050268,0.0,12,0.3333333333333333
11,10,25,0.2180621229925663,0.11977590928297571,0.3166404474050268,0.0,12,0.3333333333333333
11,10,N16,0.2180621229925663,0.11977590928297571,0.3166404474050268,0.0,12,0.3333333333333333
10,11,17,0.3166404474050268,0.0,0.2180621229925663,0.11977590928297571,12,0.3333333333333333
14,19,N8,0.389993806216278,0.6923223514616834,0.3789761933255464,0.9296509946666194,5,0.1388888888888889
18,13,T32,0.17761472009359333,0.8346693261030255,0.26696325658370534,0.6159420785725708,10,0.2777777777777778
3,13,63,0.4373830921323887,0.47565194693275237,0.26696325658370534,0.6159420785725708,18,0.5
3,13,143,0.4373830921323887,0.47565194693275237,0.26696325658370534,0.6159420785725708,18,0.5
3,13,145,0.4373830921323887,0.47565194693275237,0.26696325658370534,0.6159420785725708,18,0.5
3,13,E,0.4373830921323887,0.47565194693275237,0.26696325658370534,0.6159420785725708,18,0.5
3,13,N9,0.4373830921323887,0.47565194693275237,0.26696325658370534,0.6159420785725708,18,0.5
13,18,63,0.26696325658370534,0.6159420785725708,0.17761472009359333,0.8346693261030255,13,0.3611111111111111
13,18,145,0.26696325658370534,0.6159420785725708,0.17761472009359333,0.8346693261030255,13,0.3611111111111111
13,19,E,0.26696325658370534,0.6159420785725708,0.3789761933255464,0.9296509946666194,2,0.05555555555555555
13,18,N9,0.26696325658370534,0.6159420785725708,0.17761472009359333,0.8346693261030255,13,0.3611111111111111
7,6,44,0.625608091707963,0.33250313540794063,0.7862081150631085,0.3524010666583435,9,0.25
7,6,N21,0.625608091707963,0.33250313540794063,0.7862081150631085,0.3524010666583435,9,0.25
6,9,44,0.7862081150631085,0.3524010666583435,0.6941982800856858,0.1053244214371369,11,0.3055555555555556
9,6,128,0.6941982800856858,0.1053244214371369,0.7862081150631085,0.3524010666583435,7,0.19444444444444445
9,6,44,0.6941982800856858,0.1053244214371369,0.7862081150631085,0.3524010666583435,7,0.19444444444444445
19,14,N8,0.3789761933255464,0.9296509946666194,0.389993806216278,0.6923223514616834,9,0.25
14,19,100,0.389993806216278,0.6923223514616834,0.3789761933255464,0.9296509946666194,5,0.1388888888888889
13,2,180,0.26696325658370534,0.6159420785725708,0.3653073013926231,0.33955643941988123,4,0.1111111111111111
6,9,127,0.7862081150631085,0.3524010666583435,0.6941982800856858,0.1053244214371369,11,0.3055555555555556
6,9,132,0.7862081150631085,0.3524010666583435,0.6941982800856858,0.1053244214371369,11,0.3055555555555556
6,9,N21,0.7862081150631085,0.3524010666583435,0.6941982800856858,0.1053244214371369,11,0.3055555555555556
6,8,128,0.7862081150631085,0.3524010666583435,1.0,0.3316280850149932,5,0.1388888888888889
